n	gene	uniprot	family	pdb_id	chain	resolution_A	unp_coverage	n_residues
1	LYZ	P61626	glycosidase	2NWD	X	1.04	1.00	130
2	IL1B	P01584	IL1_family	8RYS	A	1.16	0.57	150
3	IL1RN	P18510	IL1_family	1ILT	A	2.00	1.00	143
4	B2M	P61769	Ig_fold	1K5N	B	1.09	1.00	100
5	CST3	P01034	cystatin	3GAX	A	1.70	1.00	107
6	TTR	P02766	transthyretin	8C86	A	1.10	1.00	116
7	TNF	P01375	TNF_superfamily	5YOY	A	2.73	0.68	154
8	CXCL8	P10145	chemokine_CXC	6N2U	A	1.25	1.00	69
9	S100A8	P05109	S100	4GGF	A	1.60	1.00	89
10	S100A9	P06702	S100	4GGF	C	1.60	1.00	108
11	CCL2	P13500	chemokine_CC	7SO0	B	1.74	1.00	70
12	CCL5	P13501	chemokine_CC	6STK	A	1.52	1.00	65
13	CCL3	P10147	chemokine_CC	3FPU	B	1.76	1.00	66
14	CXCL10	P02778	chemokine_CXC	1O7Z	A	1.92	1.00	61
15	CXCL12	P48061	chemokine_CXC	4UAI	A	1.90	0.94	68
16	IL6	P05231	IL6_family	1ALU	A	1.90	1.00	157
17	IL10	P22301	IL10_family	2ILK	A	1.60	1.00	155
18	IL2	P60568	four_helix_cytokine	8SOZ	A	1.64	1.00	114
19	IL4	P05112	four_helix_cytokine	2D48	A	1.65	1.00	129
20	IL13	P35225	four_helix_cytokine	3BPO	A	3.00	0.93	98
21	IFNG	P01579	interferon	3BES	L	2.20	0.96	133
22	IFNB1	P01574	interferon	1AU1	A	2.20	1.00	166
23	PDGFB	P01127	cystine_knot	3MJG	A	2.30	0.75	97
24	TGFB1	P01137	cystine_knot	8UDZ	A	2.21	1.00	257
25	NGF	P01138	neurotrophin	1WWW	V	2.20	0.54	108
26	BDNF	P23560	neurotrophin	1BND	A	2.30	0.52	109
27	IGF1	P05019	insulin_like	1WQJ	I	1.60	0.40	62
28	FGF1	P05230	FGF	3OJM	A	2.10	1.00	145
29	FGF2	P09038	FGF	8OM6	A	1.31	0.54	134
30	EGF	P01133	EGF	1NQL	B	2.80	0.04	48
31	APOA1	P02647	apolipoprotein	9PVY	A	2.15	0.98	60
32	APOE	P02649	apolipoprotein	8AX9	A	1.55	1.00	143
33	RBP4	P02753	lipocalin	6QBA	A	1.80	1.00	176
34	LCN2	P80188	lipocalin	4MVK	A	1.50	1.00	171
35	CRP	P02741	pentraxin	3PVN	A	1.98	1.00	206
36	SAA1	P0DJI8	serum_amyloid	4IP8	A	2.19	1.00	105
37	ALB	P02768	albumin	8RCO	A	1.90	1.00	582
38	HP	P00738	haptoglobin	9HEJ	F	2.82	0.85	292
39	SERPINA1	P01009	serpin	2QUG	A	2.00	1.00	368
40	SERPINC1	P01008	serpin	3KCG	I	1.70	1.00	419
41	SERPINE1	P05121	serpin	7AQF	A	1.77	1.00	370
42	CDK2	P24941	kinase	6Q4G	A	0.98	1.00	282
43	CDK6	Q00534	kinase	1BLX	A	1.90	1.00	305
44	MMP1	P03956	MMP	1SU3	A	2.20	1.00	415
45	MMP3	P08254	MMP	1SLM	A	1.90	0.55	226
46	MMP7	P09237	MMP	8JUG	A	1.30	0.69	162
47	CTSB	P07858	papain_protease	3PBH	A	2.50	0.98	317
48	CTSK	P43235	papain_protease	5Z5O	A	1.92	1.00	308
49	CTSS	P25774	papain_protease	2C0Y	A	2.10	1.00	308
50	CA1	P00915	carbonic_anhydrase	7Q0D	A	1.24	1.00	258
51	CA2	P00918	carbonic_anhydrase	3K34	A	0.90	1.00	258
52	SOD1	P00441	superoxide_dismutase	8CCX	A	1.67	1.00	153
53	GSTP1	P09211	GST	2A2R	A	1.40	1.00	210
54	FABP4	P15090	FABP	7G0Z	A	0.84	1.00	134
55	FABP5	Q01469	FABP	7G0E	A	1.11	1.00	134
56	CALM1	P0DP23	EF_hand	9MXD	A	1.17	1.00	143
57	PVALB	P20472	EF_hand	9BB8	A	2.72	0.99	110
58	S100B	P04271	S100	5D7F	A	1.30	1.00	91
59	S100A4	P26447	S100	4CFR	A	1.40	1.00	94
60	LGALS1	P09382	galectin	4Q27	A	1.20	1.00	130
61	LGALS3	P17931	galectin	6FOF	A	2.20	0.78	153
62	PGF	P49763	cystine_knot	1FZV	A	2.00	0.62	100
63	KITLG	P21583	four_helix_cytokine	1SCF	A	2.20	1.00	119
64	CSF2	P04141	four_helix_cytokine	6BFS	C	2.00	1.00	112
65	CSF3	P09919	four_helix_cytokine	1RHG	A	2.20	0.98	145
66	EPO	P01588	four_helix_cytokine	1EER	A	1.90	1.00	166
67	GH1	P01241	four_helix_cytokine	1HUW	A	2.00	1.00	166
68	PRL	P01236	four_helix_cytokine	2Q98	A	2.70	0.95	191
69	LEP	P41159	four_helix_cytokine	1AX8	A	2.40	1.00	130
70	ADIPOQ	Q15848	C1q_TNF	4DOU	A	2.00	0.63	399
71	C1QA	P02745	C1q_TNF	5HKJ	A	1.35	0.61	402
72	CFD	P00746	complement_protease	6QMT	A	1.80	1.00	230
73	C3	P01024	complement	9U62	C	2.70	1.00	632
74	F2	P00734	coagulation_protease	8RTN	H	2.51	1.00	251
75	F7	P08709	coagulation_protease	5PAG	B	1.36	0.57	247
76	PLG	P00747	coagulation_protease	4DUR	A	2.45	1.00	756
77	KLKB1	P03952	coagulation_protease	6I44	A	1.36	1.00	596
78	PLAU	P00749	coagulation_protease	7ZRR	A	1.64	0.68	247
79	IL18	Q14116	IL1_family	7AL7	B	1.80	0.82	156
