# Curated human antigen panel for EpitopeScope benchmarking.
# One protein per row, resolved to a single-chain PDB file by datasets/build_panels.py.
# Order is meaningful: rows 1-10 are the pilot panel, 1-48 the half plate, 1-96 the full plate.
# Homologous families are deliberately spread across all three scales so that cross-talk has
# something real to find at every panel size.
#
# gene	uniprot	family
LYZ	P61626	glycosidase
IL1B	P01584	IL1_family
IL1RN	P18510	IL1_family
B2M	P61769	Ig_fold
CST3	P01034	cystatin
TTR	P02766	transthyretin
TNF	P01375	TNF_superfamily
CXCL8	P10145	chemokine_CXC
S100A8	P05109	S100
S100A9	P06702	S100
CCL2	P13500	chemokine_CC
CCL5	P13501	chemokine_CC
CCL3	P10147	chemokine_CC
CXCL10	P02778	chemokine_CXC
CXCL12	P48061	chemokine_CXC
IL6	P05231	IL6_family
IL10	P22301	IL10_family
IL2	P60568	four_helix_cytokine
IL4	P05112	four_helix_cytokine
IL13	P35225	four_helix_cytokine
IFNG	P01579	interferon
IFNB1	P01574	interferon
VEGFA	P15692	cystine_knot
PDGFB	P01127	cystine_knot
TGFB1	P01137	cystine_knot
NGF	P01138	neurotrophin
BDNF	P23560	neurotrophin
IGF1	P05019	insulin_like
INS	P01308	insulin_like
FGF1	P05230	FGF
FGF2	P09038	FGF
EGF	P01133	EGF
APOA1	P02647	apolipoprotein
APOE	P02649	apolipoprotein
RBP4	P02753	lipocalin
LCN2	P80188	lipocalin
CRP	P02741	pentraxin
SAA1	P0DJI8	serum_amyloid
ALB	P02768	albumin
TF	P02787	transferrin
HP	P00738	haptoglobin
SERPINA1	P01009	serpin
SERPINC1	P01008	serpin
SERPINE1	P05121	serpin
CDK2	P24941	kinase
CDK6	Q00534	kinase
MMP1	P03956	MMP
MMP3	P08254	MMP
MMP7	P09237	MMP
CTSB	P07858	papain_protease
CTSK	P43235	papain_protease
CTSS	P25774	papain_protease
CA1	P00915	carbonic_anhydrase
CA2	P00918	carbonic_anhydrase
SOD1	P00441	superoxide_dismutase
GSTP1	P09211	GST
FABP4	P15090	FABP
FABP5	Q01469	FABP
CALM1	P0DP23	EF_hand
PVALB	P20472	EF_hand
S100B	P04271	S100
S100A4	P26447	S100
LGALS1	P09382	galectin
LGALS3	P17931	galectin
GRN	P28799	granulin
PGF	P49763	cystine_knot
KITLG	P21583	four_helix_cytokine
CSF2	P04141	four_helix_cytokine
CSF3	P09919	four_helix_cytokine
EPO	P01588	four_helix_cytokine
GH1	P01241	four_helix_cytokine
PRL	P01236	four_helix_cytokine
LEP	P41159	four_helix_cytokine
ADIPOQ	Q15848	C1q_TNF
C1QA	P02745	C1q_TNF
CFD	P00746	complement_protease
C3	P01024	complement
F2	P00734	coagulation_protease
F7	P08709	coagulation_protease
F10	P00742	coagulation_protease
PLG	P00747	coagulation_protease
KLKB1	P03952	coagulation_protease
PLAU	P00749	coagulation_protease
IL18	Q14116	IL1_family
IL33	O95760	IL1_family
IL17A	Q16552	IL17
IL22	Q9GZX6	IL10_family
IL23A	Q9NPF7	IL6_family
TNFSF10	P50591	TNF_superfamily
TNFSF13B	Q9Y275	TNF_superfamily
CD40LG	P29965	TNF_superfamily
LTA	P01374	TNF_superfamily
HBB	P68871	globin
MB	P02144	globin
CYCS	P99999	cytochrome
UBC	P0CG48	ubiquitin
SUMO1	P63165	ubiquitin_like
NEDD8	Q15843	ubiquitin_like
PIN1	Q13526	WW_PPIase
FKBP1A	P62942	immunophilin
PPIA	P62937	immunophilin
THPO	P40225	four_helix_cytokine
HGF	P14210	growth_factor
IGF2	P01344	insulin_like
GCG	P01275	peptide_hormone
PTH	P01270	peptide_hormone
CALCA	P06881	peptide_hormone
NPPB	P16860	peptide_hormone
MMP9	P14780	MMP
TIMP1	P01033	TIMP
TIMP2	P16035	TIMP
CCL11	P51671	chemokine_CC
CXCL9	Q07325	chemokine_CXC
CXCL13	O43927	chemokine_CXC
IL5	P05113	four_helix_cytokine
IL7	P13232	four_helix_cytokine
IL15	P40933	four_helix_cytokine
IL21	Q9HBE4	four_helix_cytokine
